MainID,St_name,Dist,DistName,StartTime,EndTime,Side,from,to,miles,section,oneway,week1,week2,week3,week4,week5,sunday,monday,tuesday,wednesday,thursday,friday,saturday,everyday,yearround,northendpilot,timestamp,parent,losta,hista
3197,Shawmut Ave,10R,Roxbury,08:00,12:00,Odd,Lenox St,Melnea Cass Blvd,0.196401515151515,,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,3/25/2020 11:50:39 AM,SHAWM2,6299,7336
3198,Ashton St,7,South Dorchester,08:00,12:00,Odd,Woodrow Ave,Frontenac St,8.93939393939394E-02,,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,2/14/2012 8:36:32 AM,ASHTO1,1098,1570
3199,Ashton St,7,South Dorchester,08:00,12:00,Even,Woodrow Ave,Frontenac St,8.93939393939394E-02,,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,2/14/2012 8:36:32 AM,ASHTO1,1098,1570
3200,Balsam St,7,South Dorchester,08:00,12:00,Even,Blue Hill Ave,Irma St,0.14375,,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,2/29/2012 10:06:53 AM,BALSA1,0,759
3201,Balsam St,7,South Dorchester,08:00,12:00,Odd,Blue Hill Ave,Irma St,0.14375,,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,2/29/2012 10:06:53 AM,BALSA1,0,759
3202,Washington St,10R,Roxbury,00:01,07:00,Even,Lenox St,Dudley St,0.545833333333333,,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,False,2/29/2012 10:06:53 AM,WASHI1,10805,13687
3203,Washington St,10R,Roxbury,00:01,07:00,Odd,Lenox St,Dudley St,0.545833333333333,,True,True,True,True,True,True,False,False,False,True,False,False,False,False,True,False,2/29/2012 10:06:53 AM,WASHI1,10805,13687
3204,East Second St,5,South Boston,13:00,16:00,Even,L St,M St,0.106439393939394,,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,2/14/2012 8:36:32 AM,E SEC1,2145,2707
3205,East Second St,5,South Boston,13:00,16:00,Odd,L St,M St,0.106439393939394,,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,2/14/2012 8:36:32 AM,E SEC1,2145,2707
3206,Washington St,2,Jamaica Plain,00:01,07:00,Even,Atherton St,Burnett St,0.939962121212121,,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,False,2/29/2012 10:06:53 AM,WASHI1,19783,24746
3207,Washington St,2,Jamaica Plain,00:01,07:00,Odd,Atherton St,Burnett St,0.939962121212121,,True,True,True,True,True,True,False,False,False,True,False,False,False,False,True,False,2/29/2012 10:06:53 AM,WASHI1,19783,24746
3208,Bird St,3,North Dorchester,08:00,12:00,Odd,Hancock St,Columbia Rd,7.02651515151515E-02,,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,4/4/2014 9:12:56 AM,BIRD 1,0,371
3209,Bird St,3,North Dorchester,08:00,12:00,Even,Hancock St,Columbia Rd,7.02651515151515E-02,,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,4/4/2014 9:12:45 AM,BIRD 1,0,371
3210,Huntington Ave,M,Multiple,00:01,07:00,Odd,Massachusetts Ave,South Huntington Ave,1.60397727272727,,True,True,True,True,True,True,False,True,False,False,False,False,False,False,True,False,2/14/2012 8:36:32 AM,HUNTI1,3224,11693
3211,Washington St,10R,Roxbury,00:01,07:00,Even,Dudley St,Atherton St,1.15454545454545,,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,False,2/29/2012 10:06:53 AM,WASHI1,13687,19783
3212,Washington St,10R,Roxbury,00:01,07:00,Odd,Dudley St,Atherton St,1.15454545454545,,True,True,True,True,True,True,False,False,False,True,False,False,False,False,True,False,2/29/2012 10:06:53 AM,WASHI1,13687,19783
3217,Tremont St,1S,South End,05:00,07:00,Even,Berkeley St,Massachusetts Ave,0.685606060606061,,False,True,True,True,True,True,False,False,False,False,True,False,False,False,True,True,4/16/2015 11:50:37 AM,TREMO1,6230,9850
3218,Columbus Ave,1S,South End,08:00,12:00,Even,Clarendon St,Massachusetts Ave,0.629545454545455,,False,True,True,True,True,True,False,False,False,True,False,False,False,False,False,True,2/29/2012 10:06:53 AM,COLUM15,2219,5543
3219,Columbus Ave,1S,South End,08:00,12:00,Odd,Clarendon St,Massachusetts Ave,0.629545454545455,,False,True,True,True,True,True,False,False,False,False,False,True,False,False,False,True,2/29/2012 10:06:53 AM,COLUM15,2219,5543
3220,Columbus Ave,1S,South End,00:00,07:00,Odd,Massachusetts Ave,Douglass Park,0.178977272727273,,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,True,8/4/2017 8:28:12 AM,COLUM15,5543,6488
